feature,importance_mean,importance_std
Absences,1.0055982937604124,0.03555225176131059
ParentalSupport,0.12247280971180707,0.007383416444589084
StudyTimeWeekly,0.10126177815609791,0.005802581944647558
Tutoring,0.051886815355044594,0.00406526219178613
Sports,0.041345964410453746,0.0038188257608900798
Extracurricular,0.04001303156053846,0.004217173648228745
Music,0.011940737456586734,0.0032847175563936364
ParentalEducation,0.0005403764116015452,0.0003732762884460018
Gender,0.00042120507662370273,0.00020066775627119936
Age,0.00012697738108540524,0.00029180301344807456
Volunteering,6.273285910788074e-05,7.366713499989424e-05
Ethnicity,-1.8447536030880007e-05,0.00024953709978587794
